stage,folder,type,current_name,new_name,note
1 textures,Content/Oxi/Environment/EnvMaps,TextureCube,subway_1,TC_subway_1,
1 textures,Content/Oxi/Environment/EnvMaps,TextureCube,subway_2,TC_subway_2,
1 textures,Content/Oxi/Environment/Interactables,Texture2D,Arcade1Coinbox,T_Arcade1Coinbox,
1 textures,Content/Oxi/Environment/Interactables,Texture2D,Arcade1Coinbox_Emissive_T,T_Arcade1Coinbox_Emissive,
1 textures,Content/Oxi/Environment/Interactables,Texture2D,Arcade1Console_Emissive_T,T_Arcade1Console_Emissive,
1 textures,Content/Oxi/Environment/Interactables,Texture2D,Arcade1Console_T,T_Arcade1Console,
1 textures,Content/Oxi/Environment/Interactables,Texture2D,Arcade1FrontTop_Emissive_T,T_Arcade1FrontTop_Emissive,
1 textures,Content/Oxi/Environment/Interactables,Texture2D,Arcade1FrontTop_T,T_Arcade1FrontTop,
1 textures,Content/Oxi/Environment/Interactables,Texture2D,Arcade1Sides_T,T_Arcade1Sides,
1 textures,Content/Oxi/Environment/MassAve/Buildings,Texture2D,MassAve_CornerStore,T_MassAve_CornerStore,
1 textures,Content/Oxi/Environment/MassAve/Buildings,Texture2D,MassAve_House_1_Albedo,T_MassAve_House_1_Albedo,
1 textures,Content/Oxi/Environment/MassAve/Buildings,Texture2D,MassAve_House_2_Albedo,T_MassAve_House_2_Albedo,
1 textures,Content/Oxi/Environment/MassAve/Buildings,Texture2D,MassAve_House_3_Albedo,T_MassAve_House_3_Albedo,
1 textures,Content/Oxi/Environment/MassAve/Cars,Texture2D,Car_T,T_Car,
1 textures,Content/Oxi/Environment/MassAve/Decals,Texture2D,FreePaletineSticker,T_FreePaletineSticker,
1 textures,Content/Oxi/Environment/MassAve/Pavement,Texture2D,MassAve_Road_1_Albedo,T_MassAve_Road_1_Albedo,
1 textures,Content/Oxi/Environment/MassAve/TrafficSigns,Texture2D,TrafficLightPost_1,T_TrafficLightPost_1,
1 textures,Content/Oxi/Environment/Props,Texture2D,CashStack_Albedo,T_CashStack_Albedo,
1 textures,Content/Oxi/Environment/Props,Texture2D,Radio_Albedo,T_Radio_Albedo,
1 textures,Content/Oxi/Environment/Subway/FloorsWalls/Textures,Texture2D,PopcornCeiling1_NM,T_PopcornCeiling1_NM,
1 textures,Content/Oxi/Environment/Subway/FloorsWalls/Textures,Texture2D,PopcornCeiling_T,T_PopcornCeiling,
1 textures,Content/Oxi/Environment/Subway/FloorsWalls/Textures,Texture2D,RubberFloor_NM,T_RubberFloor_NM,
1 textures,Content/Oxi/Environment/Subway/FloorsWalls/Textures,Texture2D,RubberFloor_T,T_RubberFloor,
1 textures,Content/Oxi/Environment/Subway/FloorsWalls/Textures,Texture2D,TiledWall1_NM,T_TiledWall1_NM,
1 textures,Content/Oxi/Environment/Subway/FloorsWalls/Textures,Texture2D,TiledWall1_T,T_TiledWall1,
1 textures,Content/Oxi/Environment/Subway/Props,Texture2D,ArrivalTimeSign_Albedo,T_ArrivalTimeSign_Albedo,
1 textures,Content/Oxi/Environment/Subway/Props,Texture2D,ArrivalTimeSign_Emissive,T_ArrivalTimeSign_Emissive,
1 textures,Content/Oxi/Environment/Subway/Props,Texture2D,TicketMachine_1_BaseColor,T_TicketMachine_1_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Props,Texture2D,TicketMachine_1_Emissive,T_TicketMachine_1_Emissive,
1 textures,Content/Oxi/Environment/Subway/Props,Texture2D,TrainTracks_1_Albedo,T_TrainTracks_1_Albedo,
1 textures,Content/Oxi/Environment/Subway/Props,Texture2D,TrainTracks_1_MatProp,T_TrainTracks_1_MatProp,
1 textures,Content/Oxi/Environment/Subway/Props,Texture2D,Turnstile_1_BaseColor,T_Turnstile_1_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Props,Texture2D,Turnstile_1_Emissive,T_Turnstile_1_Emissive,
1 textures,Content/Oxi/Environment/Subway/Props/ElecticalBoxes,Texture2D,ElectricalBox_3_VariantLight_BaseColor,T_ElectricalBox_3_VariantLight_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Props/ElecticalBoxes,Texture2D,ElectricalBox_3_VariantLight_Emissive,T_ElectricalBox_3_VariantLight_Emissive,
1 textures,Content/Oxi/Environment/Subway/Props/Lights,Texture2D,FlourescentBulb_T,T_FlourescentBulb,
1 textures,Content/Oxi/Environment/Subway/Props/Lights,Texture2D,FlourescentLight1_T,T_FlourescentLight1,
1 textures,Content/Oxi/Environment/Subway/Props/Lights,Texture2D,PlatformLight_1_Albedo,T_PlatformLight_1_Albedo,
1 textures,Content/Oxi/Environment/Subway/Props/Lights,Texture2D,PlatformLight_1_Emissive,T_PlatformLight_1_Emissive,
1 textures,Content/Oxi/Environment/Subway/Props/Signs,Texture2D,SubwaySigns1_Albedo,T_SubwaySigns1_Albedo,
1 textures,Content/Oxi/Environment/Subway/Props/Signs,Texture2D,SubwaySigns1_Emissive,T_SubwaySigns1_Emissive,
1 textures,Content/Oxi/Environment/Subway/Props/Signs,Texture2D,TrapeloStationSign_BaseColor,T_TrapeloStationSign_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Props/Wires,Texture2D,Wires_NM,T_Wires_NM,
1 textures,Content/Oxi/Environment/Subway/Props/Wires,Texture2D,Wires_T,T_Wires,
1 textures,Content/Oxi/Environment/Subway/Skyline,Texture2D,Downtown_Diffuse,T_Downtown_Diffuse,
1 textures,Content/Oxi/Environment/Subway/Skyline,Texture2D,Downtown_Emissive,T_Downtown_Emissive,
1 textures,Content/Oxi/Environment/Subway/Skyline,Texture2D,Downtown_RoughnessMetal,T_Downtown_RoughnessMetal,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_PlatformStairWalls_BaseColor,T_Entry_PlatformStairWalls_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_PlatformStairWalls_DetailEmissive,T_Entry_PlatformStairWalls_DetailEmissive,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_PlatformStairWalls_Emissive,T_Entry_PlatformStairWalls_Emissive,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_PlatformStairWalls_Normal,T_Entry_PlatformStairWalls_Normal,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_PlatformStairs_BaseColor,T_Entry_PlatformStairs_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_PlatformStairs_Emissive,T_Entry_PlatformStairs_Emissive,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_StairDoor_BaseColor,T_Entry_StairDoor_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_StairWalls_BaseColor,T_Entry_StairWalls_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_StairWalls_Normals,T_Entry_StairWalls_Normals,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry,Texture2D,Entry_Stairs_BaseColor,T_Entry_Stairs_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry/EntryRoom,Texture2D,EntryRoom_FloorCeiling_Albedo,T_EntryRoom_FloorCeiling_Albedo,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry/EntryRoom,Texture2D,EntryRoom_FloorCeiling_MatProps,T_EntryRoom_FloorCeiling_MatProps,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry/EntryRoom,Texture2D,EntryRoom_FloorCeiling_Normals,T_EntryRoom_FloorCeiling_Normals,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry/EntryRoom,Texture2D,EntryRoom_Walls_Albedo,T_EntryRoom_Walls_Albedo,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry/EntryRoom,Texture2D,EntryRoom_Walls_MatProp,T_EntryRoom_Walls_MatProp,
1 textures,Content/Oxi/Environment/Subway/Structures/Entry/EntryRoom,Texture2D,EntryRoom_Walls_Normal,T_EntryRoom_Walls_Normal,
1 textures,Content/Oxi/Environment/Subway/Structures/Platform,Texture2D,Platform_Ceiling_Albedo,T_Platform_Ceiling_Albedo,
1 textures,Content/Oxi/Environment/Subway/Structures/Platform,Texture2D,Platform_Ceiling_MatProp,T_Platform_Ceiling_MatProp,
1 textures,Content/Oxi/Environment/Subway/Structures/Platform,Texture2D,Platform_Ceiling_Normal,T_Platform_Ceiling_Normal,
1 textures,Content/Oxi/Environment/Subway/Structures/Platform,Texture2D,Platform_Tunnel_Albedo,T_Platform_Tunnel_Albedo,
1 textures,Content/Oxi/Environment/Subway/Structures/Platform,Texture2D,Platform_Tunnel_MatProp,T_Platform_Tunnel_MatProp,
1 textures,Content/Oxi/Environment/Subway/Structures/Platform,Texture2D,Platform_Walkway_BaseColor,T_Platform_Walkway_BaseColor,
1 textures,Content/Oxi/Environment/Subway/Structures/Platform,Texture2D,Platform_Walkway_Emissive,T_Platform_Walkway_Emissive,
1 textures,Content/Oxi/Environment/Subway/Structures/Platform,Texture2D,Platform_Walkway_MetalRoughness,T_Platform_Walkway_MetalRoughness,
1 textures,Content/Oxi/Environment/Subway/Structures/Platform,Texture2D,Platform_Walkway_Normal,T_Platform_Walkway_Normal,
1 textures,Content/Oxi/Environment/Subway/Trains/Materials,Texture2D,RedLineTrain_Exterior_Albedo,T_RedLineTrain_Exterior_Albedo,
1 textures,Content/Oxi/Environment/Subway/Trains/Materials,Texture2D,RedLineTrain_Windows_Albedo,T_RedLineTrain_Windows_Albedo,
1 textures,Content/Oxi/Environment/Subway/Trains/Materials,Texture2D,RedLineTrain_Windows_Emissive,T_RedLineTrain_Windows_Emissive,
1 textures,Content/Oxi/Gameplay/MiniGames/FlippinBirds,Texture2D,Car_T,T_Car,
1 textures,Content/Oxi/Gameplay/MiniGames/FlippinBirds,Texture2D,PinkyMobile_Emissive_T,T_PinkyMobile_Emissive,
1 textures,Content/Oxi/Media/Ads,Texture2D,Boston,T_Boston,
1 textures,Content/Oxi/Media/Ads,Texture2D,BostonAd_Emissive,T_BostonAd_Emissive,
1 textures,Content/Oxi/Media/Ads,Texture2D,BrainAd_Diffuse,T_BrainAd_Diffuse,
1 textures,Content/Oxi/Media/Ads,Texture2D,BrainAd_FXMask,T_BrainAd_FXMask,
1 textures,Content/Oxi/Media/Ads,Texture2D,ELP_Ad,T_ELP_Ad,
1 textures,Content/Oxi/Media/Ads,Texture2D,FlippinBirdsAd,T_FlippinBirdsAd,
1 textures,Content/Oxi/Media/Ads,Texture2D,JizzoDaRoula,T_JizzoDaRoula,
1 textures,Content/Oxi/Media/Ads,Texture2D,SheepAndFoxShowAd,T_SheepAndFoxShowAd,
1 textures,Content/Oxi/Media/Ads,Texture2D,SnakyIO,T_SnakyIO,
1 textures,Content/Oxi/Media/Ads,Texture2D,SnakyIO_Emissive,T_SnakyIO_Emissive,
1 textures,Content/Oxi/Media/Ads,Texture2D,Title,T_Title,
1 textures,Content/Oxi/Media/Ads,Texture2D,TransColorWheel,T_TransColorWheel,
1 textures,Content/Oxi/Media/GetTheBag,Texture2D,IcePick_Eye_Color,T_IcePick_Eye_Color,
1 textures,Content/Oxi/Media/GetTheBag,Texture2D,IcePick_Face_Color,T_IcePick_Face_Color,
1 textures,Content/Oxi/Media/GetTheBag,Texture2D,IcePick_Jewelry_Color,T_IcePick_Jewelry_Color,
1 textures,Content/Oxi/Media/GetTheBag,Texture2D,IcePick_Jewelry_Emissive,T_IcePick_Jewelry_Emissive,
1 textures,Content/Oxi/Media/GetTheBag,Texture2D,IcePick_Shades,T_IcePick_Shades,
1 textures,Content/Oxi/Media/GetTheBag,Texture2D,IcePick_StreetOutfit_Color,T_IcePick_StreetOutfit_Color,
1 textures,Content/Oxi/Media/Videos/TheSheepAndFoxArcade,MediaTexture,TheSheepAndFoxArcade_Tex,MT_TheSheepAndFoxArcade_Tex,
1 textures,Content/Oxi/UI/HUD,Texture2D,DamageIndicator_Tex,T_DamageIndicator,
1 textures,Content/Oxi/UI/HUD/Health,Texture2D,Health_Icon_Tex,T_Health_Icon,
1 textures,Content/Oxi/UI/HUD/Health,Texture2D,Heart_Circuits_Tex,T_Heart_Circuits,
1 textures,Content/Oxi/UI/HUD/Health,Texture2D,Heart_Pulse_Tex,T_Heart_Pulse,
1 textures,Content/Oxi/UI/HUD/Scopes,Texture2D,PistolScope_Backplate_Te,T_PistolScope_Backplate_Te,
1 textures,Content/Oxi/UI/HUD/Scopes,Texture2D,ScopeProjector_,T_ScopeProjector_,
1 textures,Content/Oxi/UI/HUD/Scopes,Texture2D,Scope_Tex,T_Scope,
1 textures,Content/Oxi/UI/HUD/Weapons,Texture2D,BackPlate,T_BackPlate,
1 textures,Content/Oxi/UI/HUD/Weapons,Texture2D,Pistol_Icon_Tex,T_Pistol_Icon,
1 textures,Content/Oxi/UI/HUD/Weapons,Texture2D,Rifle_Icon,T_Rifle_Icon,
1 textures,Content/Oxi/UI/HUD/Weapons,Texture2D,Shotty_Icon_Tex,T_Shotty_Icon,
1 textures,Content/Oxi/VFX/Beams,Texture2D,OrangeBeam_Atlas_VW,T_OrangeBeam_Atlas_VW,
1 textures,Content/Oxi/VFX/Glow,Texture2D,Glow1_T,T_Glow1,
1 textures,Content/Oxi/VFX/Glow,Texture2D,OrangeBasic1,T_OrangeBasic1,
1 textures,Content/Oxi/VFX/Glow,Texture2D,OrangeBasic2,T_OrangeBasic2,
1 textures,Content/Oxi/VFX/Glow,Texture2D,OrangeBasic3,T_OrangeBasic3,
1 textures,Content/Oxi/VFX/Impact/Parallax,Texture2D,impact_color_height,T_impact_color_height,
1 textures,Content/Oxi/VFX/Impact/Parallax,Texture2D,impact_mask,T_impact_mask,
1 textures,Content/Oxi/VFX/Impact/Parallax,Texture2D,impact_normal,T_impact_normal,
1 textures,Content/Oxi/VFX/Impact/Parallax,Texture2D,impact_normal_2,T_impact_normal_2,
1 textures,Content/Oxi/VFX/Noise,Texture2D,BasicNoise1_T,T_BasicNoise1,
1 textures,Content/Oxi/VFX/Noise,Texture2D,CloudNoise1_Normal,T_CloudNoise1_Normal,
1 textures,Content/Oxi/VFX/Noise,Texture2D,CloudNoise1_T,T_CloudNoise1,
1 textures,Content/Oxi/VFX/Noise,Texture2D,CloudNoise2_Normal,T_CloudNoise2_Normal,
1 textures,Content/Oxi/VFX/Noise,Texture2D,SwirlNoise_T,T_SwirlNoise,
1 textures,Content/Oxi/VFX/PostProcess,Texture2D,Scanline,T_Scanline,
1 textures,Content/Oxi/VFX/PostProcess,Texture2D,Vignette_Tex,T_Vignette,
1 textures,Content/Oxi/VFX/Smears,Texture2D,SmearStreak_1,T_SmearStreak_1,
1 textures,Content/Oxi/VFX/Smears,Texture2D,SmearStreak_2,T_SmearStreak_2,
1 textures,Content/Oxi/VFX/Smears,Texture2D,SmearStreak_3,T_SmearStreak_3,
1 textures,Content/Oxi/VFX/Smoke,Texture2D,CloudPuff_1,T_CloudPuff_1,
1 textures,Content/Oxi/VFX/Smoke,Texture2D,CloudPuff_2,T_CloudPuff_2,
1 textures,Content/Oxi/VFX/Smoke,Texture2D,Shape1,T_Shape1,
1 textures,Content/Oxi/VFX/Smoke,Texture2D,SmokePuff_1,T_SmokePuff_1,
1 textures,Content/Oxi/VFX/Smoke,Texture2D,SmokeTrailAtlas,T_SmokeTrailAtlas,
1 textures,Content/Oxi/VFX/Splatters,Texture2D,Splatter1,T_Splatter1,
1 textures,Content/Oxi/VFX/Splatters,Texture2D,Splatter2,T_Splatter2,
1 textures,Content/Oxi/VFX/Splatters,Texture2D,Splatter3,T_Splatter3,
1 textures,Content/Oxi/VFX/Splatters,Texture2D,SplatterBlob,T_SplatterBlob,
1 textures,Content/Oxi/VFX/Splatters,Texture2D,SplatterBlob2,T_SplatterBlob2,
1 textures,Content/Oxi/VFX/Techy,Texture2D,Electricity_1,T_Electricity_1,
1 textures,Content/Oxi/VFX/Techy,Texture2D,Tech1,T_Tech1,
1 textures,Content/Oxi/VFX/Wisps,Texture2D,Wisp1,T_Wisp1,
1 textures,Content/Oxi/Vehicles/ElpWhip,Texture2D,ELPWhip_Albedo,T_ELPWhip_Albedo,
1 textures,Content/Oxi/Weapons/EL_Pistol/HUD,Texture2D,BaseCrosshairVertical_Tex,T_BaseCrosshairVertical,
1 textures,Content/Oxi/Weapons/EL_Pistol/HUD,Texture2D,BaseCrosshairsHorizontal_Tex,T_BaseCrosshairsHorizontal,
1 textures,Content/Oxi/Weapons/EL_Pistol/HUD,Texture2D,PistolCrosshair_Corner_Tex,T_PistolCrosshair_Corner,
1 textures,Content/Oxi/Weapons/EL_Pistol/HUD,Texture2D,Pistol_CrosshairCenter_Tex,T_Pistol_CrosshairCenter,
1 textures,Content/Oxi/Weapons/EL_Pistol/Materials,Texture2D,ELPPistolShellEmissive_T,T_ELPPistolShellEmissive,
1 textures,Content/Oxi/Weapons/EL_Pistol/Materials,Texture2D,ELPPistolShell_T,T_ELPPistolShell,
1 textures,Content/Oxi/Weapons/EL_Pistol/Materials,Texture2D,ELPistol_Base_T,T_ELPistol_Base,
1 textures,Content/Oxi/Weapons/EL_Shotty/Materials,Texture2D,EL_DblBarrelShotgun_Color,T_EL_DblBarrelShotgun_Color,
1 textures,Content/Oxi/Weapons/ElpKnife/Materials,Texture2D,ElpKnife_Albedo,T_ElpKnife_Albedo,
1 textures,Content/Oxi/Weapons/ElpKnife/Materials,Texture2D,ElpKnife_Emissive,T_ElpKnife_Emissive,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,MaterialFunction,EyeScroll_MF,MF_EyeScroll,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,MaterialFunction,FresnelOutline_MF,MF_FresnelOutline,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,Material,SentryBlood_M,M_SentryBlood,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,MaterialInstanceConstant,SentryEyeGibs_MI,MI_SentryEyeGibs,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,Material,SentryEye_M,M_SentryEye,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,MaterialInstanceConstant,SentryEye_MI,MI_SentryEye,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,Material,SentryHotBlood_M,M_SentryHotBlood,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,MaterialInstanceConstant,SentryHotBlood_MI,MI_SentryHotBlood,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,Material,SentryPupil_M,M_SentryPupil,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,MaterialInstanceConstant,SentryPupil_MI,MI_SentryPupil,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,Material,SentryTentacle_M,M_SentryTentacle,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Materials,MaterialInstanceConstant,SentryTentacle_MI,MI_SentryTentacle,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/Meshes,Material,Pupil,M_Pupil,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/VFX,MaterialInstanceConstant,ChironexBloodSpray2_MI,MI_ChironexBloodSpray2,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/VFX,Material,ChironexBloodSpray_M,M_ChironexBloodSpray,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/VFX,MaterialInstanceConstant,ChironexBloodSpray_MI,MI_ChironexBloodSpray,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/VFX,Material,ChironexGibSpray_M,M_ChironexGibSpray,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/VFX,MaterialInstanceConstant,ChironexGibSpray_MI,MI_ChironexGibSpray,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/VFX,Material,DeathSmoke_M,M_DeathSmoke,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/VFX,MaterialInstanceConstant,DeathSmoke_MI,MI_DeathSmoke,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/VFX,MaterialInstanceConstant,SentryBlood_MI,MI_SentryBlood,
2 materials,Content/Oxi/Characters/HiddenHand/Chironex/VFX,MaterialInstanceConstant,TentacleBlood_MI,MI_TentacleBlood,
2 materials,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,MaterialInstanceConstant,HH_Soldier1_Armor_MI,MI_HH_Soldier1_Armor,
2 materials,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,MaterialInstanceConstant,HH_Soldier1_BaseOutline_MI,MI_HH_Soldier1_BaseOutline,
2 materials,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,MaterialInstanceConstant,HH_Soldier1_Base_MI,MI_HH_Soldier1_Base,
2 materials,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,MaterialInstanceConstant,HH_Soldier1_BodyOutline_MI,MI_HH_Soldier1_BodyOutline,
2 materials,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,MaterialInstanceConstant,HH_Soldier1_Body_MI,MI_HH_Soldier1_Body,
2 materials,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,MaterialInstanceConstant,HH_Soldier1_BootsHands_MI,MI_HH_Soldier1_BootsHands,
2 materials,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,MaterialInstanceConstant,HH_Soldier1_Head_MI,MI_HH_Soldier1_Head,
2 materials,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,MaterialInstanceConstant,HH_Solider1_HeadOutline_MI,MI_HH_Solider1_HeadOutline,
2 materials,Content/Oxi/Characters/Human/IcePickBase/Base,MaterialInstanceConstant,IcePickBaseBody_MI,MI_IcePickBaseBody,
2 materials,Content/Oxi/Characters/Human/IcePickBase/Base,MaterialInstanceConstant,IcePickBaseEye_MI,MI_IcePickBaseEye,
2 materials,Content/Oxi/Characters/Human/IcePickBase/Base,MaterialInstanceConstant,IcePickBaseFace_MI,MI_IcePickBaseFace,
2 materials,Content/Oxi/Characters/Human/IcePickBase/Base,MaterialInstanceConstant,IcePickBaseHair_MI,MI_IcePickBaseHair,
2 materials,Content/Oxi/Characters/Human/IcePickBase/Base,MaterialInstanceConstant,IcePickBaseJacket_MI,MI_IcePickBaseJacket,
2 materials,Content/Oxi/Characters/Human/IcePickBase/Base,MaterialInstanceConstant,IcePickBaseShoes_MI,MI_IcePickBaseShoes,
2 materials,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/Materials,MaterialInstanceConstant,IcePickHands_MI,MI_IcePickHands,
2 materials,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/Materials,Material,Master_Hands_M,M_Master_Hands,
2 materials,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/NeedleSlam,MaterialInstanceConstant,Circuits_Vignette_MatInst,MI_Circuits_Vignette,
2 materials,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/NeedleSlam,MaterialInstanceConstant,NeedleGlass_MatInst,MI_NeedleGlass,
2 materials,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/NeedleSlam,MaterialInstanceConstant,NeedleHandle_MatInst,MI_NeedleHandle,
2 materials,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/NeedleSlam,MaterialInstanceConstant,NeedleLiquid_MatInst,MI_NeedleLiquid,
2 materials,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/NeedleSlam,MaterialInstanceConstant,NeedlePoint_MatInst,MI_NeedlePoint,
2 materials,Content/Oxi/Characters/NPCs/Meshes,MaterialInstanceConstant,Prison_TankTop_M_Inst,MI_Prison_TankTop,
2 materials,Content/Oxi/Core/Materials,Material,Master_Human,M_Master_Human,
2 materials,Content/Oxi/Core/Materials,MaterialFunction,WoundClip_MF,MF_WoundClip,
